text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
".@SecShulkin's decision is one of the biggest wins for our VETERANS in decades. Our HEROES deserve the best! 
<U+27A1><U+FE0F>… https://t.co/RnNp9q7Tdh",FALSE,42057,NA,6/5/2017 20:45,TRUE,NA,8.7183E+17,NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",realDonaldTrump,9421,FALSE,FALSE,NA,NA
"Pathetic excuse by London Mayor Sadiq Khan who had to think fast on his ""no reason to be alarmed"" statement. MSM is working hard to sell it!",FALSE,95966,NA,6/5/2017 13:49,FALSE,NA,8.71726E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,29310,FALSE,FALSE,NA,NA
".@foxandfriends  Dems are taking forever to approve my people, including Ambassadors. They are nothing but OBSTRUCTIONISTS! Want approvals.",FALSE,79252,NA,6/5/2017 13:35,FALSE,NA,8.71722E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,20991,FALSE,FALSE,NA,NA
In any event we are EXTREME VETTING people coming into the U.S. in order to help keep our country safe. The courts are slow and political!,FALSE,89047,NA,6/5/2017 10:44,FALSE,NA,8.71679E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,20131,FALSE,FALSE,NA,NA
The Justice Dept. should ask for an expedited hearing of the watered down Travel Ban before the Supreme Court - &amp; seek much tougher version!,FALSE,65515,NA,6/5/2017 10:37,FALSE,NA,8.71677E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14933,FALSE,FALSE,NA,NA
"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.",FALSE,70936,NA,6/5/2017 10:29,FALSE,NA,8.71675E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,15485,FALSE,FALSE,NA,NA
"People, the lawyers and the courts can call it whatever they want, but I am calling it what we need and what it is, a TRAVEL BAN!",FALSE,88863,NA,6/5/2017 10:25,FALSE,NA,8.71674E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,21851,FALSE,FALSE,NA,NA
Do you notice we are not having a gun debate right now? That's because they used knives and a truck!,FALSE,167849,NA,6/4/2017 11:43,FALSE,NA,8.71332E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,50527,FALSE,FALSE,NA,NA
"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""",FALSE,163402,NA,6/4/2017 11:31,FALSE,NA,8.71328E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,64166,FALSE,FALSE,NA,NA
We must stop being politically correct and get down to the business of security for our people. If we don't get smart it will only get worse,FALSE,244807,NA,6/4/2017 11:19,FALSE,NA,8.71326E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,76126,FALSE,FALSE,NA,NA
"Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!",FALSE,264050,NA,6/3/2017 23:24,FALSE,NA,8.71146E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,65951,FALSE,FALSE,NA,NA
"We need to be smart, vigilant and tough. We need the courts to give us back our rights. We need the Travel Ban as an extra level of safety!",FALSE,179530,NA,6/3/2017 23:17,FALSE,NA,8.71144E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,54138,FALSE,FALSE,NA,NA
#WeeklyAddress<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> https://t.co/DNzRZiKxhd,FALSE,51793,NA,6/3/2017 19:35,FALSE,NA,8.71088E+17,NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",realDonaldTrump,12158,FALSE,FALSE,NA,NA
"#MakeAmericaGreatAgain<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>
https://t.co/eJxeVZ3A1r",FALSE,78615,NA,6/2/2017 18:30,FALSE,NA,8.70709E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,16557,FALSE,FALSE,NA,NA
MAKE AMERICA GREAT AGAIN!,FALSE,165213,NA,6/2/2017 1:00,FALSE,NA,8.70445E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,48761,FALSE,FALSE,NA,NA
"My job as President is to do everything within my power to give America a level playing field. #AmericaFirst<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>
<U+27A1><U+FE0F>… https://t.co/hL7OwbWzyi",FALSE,93558,NA,6/1/2017 22:50,TRUE,NA,8.70412E+17,NA,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",realDonaldTrump,22494,FALSE,FALSE,NA,NA
"Join me live at the @WhiteHouse.

<U+27A1><U+FE0F>https://t.co/9VOb99W42r https://t.co/sjb5VHLHYH",FALSE,38514,NA,6/1/2017 19:03,FALSE,NA,8.70355E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7127,FALSE,FALSE,NA,NA
"The big story is the ""unmasking and surveillance"" of people that took place during the Obama Administration.",FALSE,93293,NA,6/1/2017 11:05,FALSE,NA,8.70235E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,25771,FALSE,FALSE,NA,NA
"I will be announcing my decision on Paris Accord, Thursday at 3:00 P.M.  The White House Rose Garden.  MAKE AMERICA GREAT AGAIN!",FALSE,80423,NA,6/1/2017 1:05,FALSE,NA,8.70084E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,17681,FALSE,FALSE,NA,NA
"Crooked Hillary Clinton now blames everybody but herself, refuses to say she was a terrible candidate. Hits Facebook &amp; even Dems &amp; DNC.",FALSE,116167,NA,6/1/2017 0:40,FALSE,NA,8.70077E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,29879,FALSE,FALSE,NA,NA
